,COMPANY,BUSINESS_IN_FORCE_NEW_NUMBER_OF_POLICIES,BUSINESS_IN_FORCE_NEW_SUM_INSURED,BUSINESS_IN_FORCE_NEW_PREMIUMS,BUSINESS_IN_FORCE_TOTAL_NUMBER_OF_POLICIES,BUSINESS_IN_FORCE_TOTAL_SUM_INSURED,BUSINESS_IN_FORCE_TOTAL_PREMIUMS,YEARS,GROSS_DIRECT_PREMIUM,INWARD_REINSURANCE,OUTWARD_REINSURANCE,NET_PREMIUM_WRITTEN,UPR_B/F,UNEXPIRED_RISK_RESERVE_(B/F),UPR_C/F,UNEXPIRED_RISK_RESERVE_(B/F).1,NET_EARNED_PREMIUM_INCOME,INCURRED_CLAIMS,NET_COMMISIONS,EXPENSE_OF_MANAGEMENT,UNDERWRITING_PROFIT/(LOSS),INVESTMENT_INCOME,PROFIT_TRANSFERRED_TO_P&L,NET_PAID_CLAIMS_AVIATION,NET_PAID_CLAIMS_ENGINEERING,NET_PAID_CLAIMS_FIRE_DOMESTIC,NET_PAID_CLAIMS_FIRE_INDUSTRIAL,NET_PAID_CLAIMS_LIABILITY,NET_PAID_CLAIMS_MARINE,NET_PAID_CLAIMS_MOTOR_PRIVATE,NET_PAID_CLAIMS_MOTOR_COMMERCIAL,NET_PAID_CLAIMS_MOTOR_COMMERCIAL_PSV,NET_PAID_CLAIMS_PERSONAL_ACCIDENT,NET_PAID_CLAIMS_THEFT,NET_PAID_CLAIMS_WORKMENS'_COMPENSATION,NET_PAID_CLAIMS_MEDICAL,NET_PAID_CLAIMS_MISCELLANEOUS,NET_PAID_CLAIMS_TOTAL,SHARE_CAPITAL,SHARE_PREMIUM,REVALUATION_RESERVES,STATUTORY_RESERVES,RETAINED_EARNINGS,OTHER_RESERVES,TOTAL_EQUITY,UNDERWRITING_PROVISIONS,ACTUARIAL_CONTRACT_LIABILITIES,LONGTERM_LIABILITIES,CURRENT_LIABILITIES,TOTAL_EQUITY_AND_LIABILITIES,LAND_AND_BUILDINGS,INVESTMENT_PROPERTY,OTHER_FIXED_ASSETS,GOVERNMENT_SECURITIES,OTHER_SECURITIES,INVESTMENT_IN_RELATED_COMPANIES,CORPORATE_BONDS,COMMERCIAL_PAPERS,DEBENTURES,ORDINARY_SHARES_QUOTED,ORDINARY_SHARES_UNQUOTED,PREFERENCE_SHARES_QUOTED,PREFERENCE_SHARES_UNQUOTED,LOANS_SECURED_&_UNSECURED,MORTGAGES,TERM_DEPOSITS,CASH_AND_CASH_BALANCES,OUTSTANDING_PREMIUMS,OTHER_RECEIVABLES,OTHER_ASSETS,INTANGIBLE_ASSETS,TOTAL_ASSETS,NET_EARNED_PREMIUM_AVIATION,NET_EARNED_PREMIUM_ENGINEERING,NET_EARNED_PREMIUM_FIRE_DOMESTIC,NET_EARNED_PREMIUM_FIRE_INDUSTRIAL,NET_EARNED_PREMIUM_LIABILITY,NET_EARNED_PREMIUM_MARINE,NET_EARNED_PREMIUM_MOTOR_PRIVATE,NET_EARNED_PREMIUM_MOTOR_COMMERCIAL,NET_EARNED_PREMIUM_MOTOR_COMMERCIAL_PSV,NET_EARNED_PREMIUM_PERSONAL_ACCIDENT,NET_EARNED_PREMIUM_THEFT,NET_EARNED_PREMIUM_WORKMENS'_COMPENSATION,NET_EARNED_PREMIUM_MEDICAL,NET_EARNED_PREMIUM_MISCELLANEOUS,NET_EARNED_PREMIUM_TOTAL,INCURRED_CLAIMS_AVIATION,INCURRED_CLAIMS_ENGINEERING,INCURRED_CLAIMS_FIRE_DOMESTIC,INCURRED_CLAIMS_FIRE_INDUSTRIAL,INCURRED_CLAIMS_LIABILITY,INCURRED_CLAIMS_MARINE,INCURRED_CLAIMS_MOTOR_PRIVATE,INCURRED_CLAIMS_MOTOR_COMMERCIAL,INCURRED_CLAIMS_MOTOR_COMMERCIAL_PSV,INCURRED_CLAIMS_PERSONAL_ACCIDENT,INCURRED_CLAIMS_THEFT,INCURRED_CLAIMS_WORKMENS'_COMPENSATION,INCURRED_CLAIMS_MEDICAL,INCURRED_CLAIMS_MISCELLANEOUS,INCURRED_CLAIMS_TOTAL,BUSINESS_IN_FORCE_NEW_SUMS_INSURED,BUSINESS_IN_FORCE_TOTAL_SUMS_INSURED,UNNAMED:_1
0,AAR INSURANCE KENYA LTD,,,,,,,2013,2619915,0,536163,2083752,386044,0,1074565,0,1395230,841299,159804,425449,-31321,93420,62099,,,,,,,,,,,,,,,,300000,1000,0,0.0,44501,0,345501,909657,0.0,0,543103,1798261,0,0,18320,277076,0,0,0,0,0.0,0,0,0.0,0.0,0,0,894526,61964,319234,211790,0,,1798261,0,0,164,0,57,0,0,0,0,6482,77,1170,1385600,1680,1395230,0,0,721,0,157,0,0,0,0,5454,291,1609,832362,705,841299,,,
1,AFRICAN MERCHANT ASSURANCE COMPANY LTD,,,,,,,2013,2190976,5666,495396,1701245,388995,0,479683,0,1610557,848537,94064,744853,-76897,221994,145097,,,,,,,,,,,,,,,,535000,0,0,0.0,318291,6443,859734,1202256,0.0,0,183866,2245856,0,442500,102033,217000,0,0,34775,0,0.0,11656,0,0.0,0.0,9011,0,726356,113884,484594,28168,74504,,2245856,0,7417,4780,112429,5978,3560,489906,450804,380538,47425,4667,65523,0,37530,1610557,0,3945,843,6273,2259,1861,313823,204664,274480,21931,5041,4610,0,8808,848538,,,
2,AIG INSURANCE COMPANY LTD,,,,,,,2013,3452088,52621,1456482,2048226,675181,0,786463,0,1936944,941274,89054,773307,133309,0,133309,,,,,,,,,,,,,,,,450000,0,-46468,0.0,954171,0,1357702,1361199,0.0,0,736317,3455219,0,175000,91646,1952161,0,0,0,0,0.0,15107,0,0.0,0.0,69773,0,418539,190380,417024,0,122819,,3455219,0,1027,67141,63123,158722,8202,443008,606602,0,424134,10132,153838,0,1014,1936943,70,1060,21060,29971,30279,5953,294369,406678,0,120256,15770,15935,0,-126,941275,,,
3,APA INSURANCE LTD,,,,,,,2013,6553965,0,1430502,5123463,2372897,0,2438698,0,5057662,3493908,538999,970651,54104,0,54104,,,,,,,,,,,,,,,,750000,0,54281,0.0,2283020,719610,3806911,6166683,0.0,6551,513057,10493201,120000,730000,63614,3399995,20144,392940,22969,134161,0.0,2327968,90109,0.0,0.0,180111,6723,1271632,147247,1214066,118738,0,,10493201,1549,67718,38725,164698,63725,197634,960893,1421922,0,97374,173552,489143,1127726,253002,5057661,-783,103008,38087,92478,46372,91394,884397,761995,0,162861,102452,348548,831081,32015,3493905,,,
4,BRITAM GENERAL INSURANCE,,,,,,,2013,3826506,0,667661,3158845,1111786,0,1368239,13459,2888933,1533873,289112,772439,293509,343738,637247,,,,,,,,,,,,,,,,700000,0,0,0.0,825170,757426,2282596,2125948,0.0,0,162564,4571108,5202,0,87464,1720292,0,175752,136074,0,0.0,622553,7241,0.0,0.0,0,0,349760,134456,564625,494240,102924,,4571108,0,24112,35717,39126,8217,49128,420397,571378,161158,241353,126329,121610,906352,184056,2888933,0,10637,13166,18211,115,9543,316455,242005,68257,63531,53658,43343,535451,159501,1533873,,,
5,CANNON ASSURANCE LTD,,,,,,,2013,995945,51416,311328,736033,321389,0,318147,0,739275,486815,63431,315399,-126370,318339,191969,,,,,,,,,,,,,,,,300000,0,0,0.0,857430,227222,1384652,1222626,0.0,0,211532,2818810,80000,917980,17989,384847,0,30000,33673,0,0.0,421015,313371,0.0,0.0,7617,38464,99943,8523,208792,148187,25684,,2818810,0,12769,10433,33425,-7471,26768,205404,252899,0,41825,34413,112488,0,16324,739277,0,6263,6655,6852,-8240,25011,144658,148234,0,8934,30661,53517,0,64268,486813,,,
6,CIC GENERAL INSURANCE LTD,,,,,,,2013,8023273,34909,743511,7314671,2706298,0,3699946,0,6321023,4113060,436151,1363267,408545,570513,979058,,,,,,,,,,,,,,,,900000,0,-1838,0.0,1877149,0,2775311,6826898,0.0,0,826313,10428522,158326,1260000,302460,1209845,0,0,41639,360711,0.0,223731,14367,0.0,0.0,252400,0,1821599,322914,3184964,868670,14350,,10428522,0,47561,73574,162834,71281,55232,1385127,2015262,0,163065,344618,175010,1772527,54932,6321023,0,34012,12311,47798,88539,10759,1123928,881903,0,85975,176764,55677,1585921,9473,4113060,,,
7,COPORATE INSURANCE COMPANY,,,,,,,2013,291360,43993,109184,226169,120747,0,120291,0,226625,77039,18517,121435,9633,109123,118756,,,,,,,,,,,,,,,,300000,0,0,0.0,385905,0,685905,314481,0.0,0,96210,1096596,0,565000,5459,106900,0,0,0,0,0.0,1913,736,0.0,0.0,2000,0,183138,13741,182308,0,32239,,1096596,0,3248,2195,6368,2420,1532,78690,46202,12419,10856,35359,20873,0,6463,226625,0,-205,2709,5811,-682,1316,48333,36986,-25082,735,2351,4430,0,336,77038,,,
8,DIRECTLINE ASSURANCE,,,,,,,2013,2224887,0,39470,2185417,494400,0,551559,0,2128258,1336524,210135,740385,-158786,304724,145938,,,,,,,,,,,,,,,,300000,0,0,0.0,447453,-75435,672018,3148694,0.0,0,78929,3899641,0,423000,54874,1080541,0,0,20998,191456,0.0,163833,0,0.0,0.0,152195,0,1022407,486962,51208,78186,88282,,3899641,0,0,0,0,0,0,12218,4909,2111130,0,0,0,0,0,2128257,0,0,0,0,0,0,0,0,1336524,0,0,0,0,0,1336524,,,
9,FIDELITY SHIELD INSURANCE COMPANY LTD,,,,,,,2013,1226045,14128,325347,914826,272252,0,353545,0,833534,484742,60541,241667,46584,0,46584,,,,,,,,,,,,,,,,300452,0,66388,0.0,537207,30045,934093,952600,0.0,17121,199644,2103458,228556,738744,20716,176433,0,0,0,0,0.0,100068,0,0.0,0.0,12709,33291,233468,29850,460028,10541,24345,34709,2103458,0,6409,13704,31138,7006,15141,235017,353138,12319,7651,17158,133180,0,1673,833534,0,854,5912,20628,-3952,10230,146403,212040,3651,6388,9771,72673,0,144,484742,,,
